salary,attrition,age,department,number_of_working_hours,gender,marital_status,job_satisfaction,environment_satisfaction,education,job_role,years_since_last_promotion,relationship_satisfaction,education_field,work_shift,years_of_experience,attendance,employment_status,distance_from_home,specializations,supervisor_name,employee_name,work_location,over_time,training_since_last_year
77879,No,39,Human Resources (HR),40,Male,Single,Very High,Medium,Bachelor,Administrator,1,Low,Administration,Day,6,85,Full-time,1.0,Health Information Management,Lori Chang,Dr. Richard Walter,Chicago,Yes,0
40000,No,29,Finance,40,Male,Single,Medium,High,Bachelor,Administrator,9,Very High,Administration,Night,11,85,Full-time,12.0,Financial Management,Hillary Johnson,Taylor Ramos,San Diego,No,3
66205,Yes,36,Information Technology (IT),42,Male,Married,High,Very High,Bachelor,Administrator,2,Medium,Administration,Rotating,10,82,Contract,6.0,Human Resources Management,Jennifer Fowler,Xyla Fitzgerald,Los Angeles,Yes,3
23500,Yes,42,Patient Services,40,Male,Married,High,Very High,Master,Administrator,3,High,Administration,Day,1,98,Part-time,11.0,Operations Management,Joe,Thomas,Philadelphia,Yes,3
97300,No,45,Medical Records,40,Male,Married,Medium,Low,Bachelor,Administrator,11,Very High,Administration,Rotating,10,89,Full-time,9.0,Quality Management,James,Joseph Keeler,Houston,No,3
31460,No,33,Facilities Management,40,Male,Married,Very High,Very High,Bachelor,Administrator,4,High,Administration,Night,6,86,Full-time,1.0,Strategic Planning,Kathleen Schultz,Jody Stehr,Phoenix,No,2
64700,No,48,Quality Assurance,40,Male,Single,Low,High,Master,Administrator,4,Low,Administration,Day,13,86,Contract,4.0,Healthcare Policy and Compliance,Mary Wright,Daniel Singh,New York,Yes,3
78529,Yes,40,Marketing and Communications,40,Male,Divorced,High,Very High,Bachelor,Administrator,10,Medium,Administration,Day,9,86,Full-time,4.0,Marketing and Public Relations,Kathleen Hess,Jebediah Kral,Los Angeles,No,2
63000,Yes,53,Supply Chain Management,40,Male,Married,High,Very High,Master,Administrator,4,Medium,Administration,Day,17,91,Contract,9.0,Patient Services Management,Jenna White,Mr. Amani O'Sullivan,Chicago,No,2
11000,No,32,Risk Management,40,Male,Married,High,High,Master,Administrator,9,Medium,Administration,Rotating,10,90,Full-time,2.0,Supply Chain Management,Katherine Peterson,Mr. Gerald Carpenter,Houston,No,3
18000,Yes,26,Human Resources (HR),40,Male,Married,Medium,Low,Bachelor,Administrator,5,High,Administration,Day,9,85,Full-time,5.0,Health Informatics,Lucien Straub,Markus Schmitt,Phoenix,No,5
